review_text,rating
"My son loves it, he can watch videos, read books and play games.",4
"Love using this Kindle to look up real estate sales, play mind games, and take pictures. Love the bigger screen and the great resolution. Sound is also far superior to my older model Lindle.",5
"Terrible. Just changed the batteries on my wireless keyboard... yesterday. Already dead. Put another set in low powered christmas lights. Dead in about an hour. (I have another identical christmas light set, powered by Energizer batteries. Still going after many many days of running).Unfortunately bought the 48 pack. Won't make this mistake again.",1
"these were under a light we thought they were there to fit the light when they arrived and nice company they were not the batteries we needed it should have been aa but that is ok,it was our fault not knowing this. thanks..",3
"This was an impulse buy. While getting a bigger, faster and much better tablet for my wife I decided I'd get this for myself. It did the job just fine, but after about a week I returned it. I just didn't find myself using it wnough to warrant keeping it. The price is awesome and if you don't mind it being a bit slower than other, much more expensive, tablets then I don't think you can go wrong.",4
"Easy to use bought for our 5 year old, found a case which allows him to keep it safe.",4
TERRIBLE! Barely lasted three hours during a digital camera shoot where Duracell lasts multiple days.,2
Easy to figure out and used it extensively on my vacation.,4
"Great tablet, fast & reliable. Only downfall is having to pay to remove adds.",4
We bought this earlier on line from another vendor and it was never delivered. Best Buy was great.,1
"If it's possible to have gotten a dud batch I sure got it. We BLEW through all these batteries in less than a month. My kids toys aren't that super powered and even in remotes I was having to change batteries way too often. For example the magic touch counting toy, the store batteries lasted 3 years. Popped in some Amazon batteries, 1 month and the second child didn't play with it nearly as much as the first. For the price it was worth the try but I'm going back to the other brands.",2
I have done this like 5 times now. Don't send me this ahs8n. Getting aggravating.,5
Got this tablet cause I wanted to start reading more graphic novels and manga and was very impressed with it it runs smooth and even use Hulu and netflix on it. My only flaw with it is that there are ads on your lock screen though you can take them off for $15 other than that it's a grade little tablet!,5
Exactly what I was looking for size wise and functional.,5
TERRIBLE! Barely lasted three hours during a digital camera shoot where Duracell lasts multiple days.,2
My 8 year old loves this so much to do on it. She enjoys reading on it play games .,4
"As always, great job! Very easy to use and it's always with me. Only problem I have is the button on the bottom is touchy, but not really an issue. Keep up the good work",4
"For the money you cannot beat this tablet. Full of features, picture quality is great, and very fast speed while using the internet.",5
I bought this tablet for my 4 year old daughter. Too many advertisements. I would rather pay more and not have a single ad.,1
"I know beforehand that this is not a powerful tablet. But it's the best bargain at this price point . The screen is okay if you just read books, news, or surf the websites. But if you want to enjoy videos-this is not your choice.The processor is slow and the amazon app store doesn't have all the apps like you'd expect from Google appstore- even though the OS based on android. But few tweaks let you install the Google playstore-search online for the steps.Overall I'm satisfied with my purchase. Hope this is helpful.",3
"The display is not as sharp and vivid as they say but still good. Probably better for reading than watching videos. We didn't really get it for the games, but there is a good selection. WiFi works well and internet browsing is fast.",3
"We use battery operated candles with timers. The batteries normally have to be changed once a month. These cheap batteries lasted 2 weeks. I thought these batteries were a good deal, but I was wrong.",2
Great gift for a younger person who wants a tablet,5
"This tablet is great for books, audible books, music and all things Amazon. The included browser (Silk) is not the best. I purchased expanded memory (64GB SD card) for about $30 more and a cover for about $20. The biggest issue I have with this unit is that it is slow (when compared to an iPad) and it tends to freeze every so often. For about 2.5x more money, consider an iPad instead.",3
"Bought this for my mom and it was just what she needed and at a great price. Been wanting to get an Ipad for myself, but think this might be a great less expensive option for me as well.",5
Good starter unit. Easy for a beginner to use. Priced low to give you a taste of the tablet world.,3
"I use hundreds of AAAs annually, and despite the graphics in ad, these are about the poorest performing, with least longevity, of any I have bought. Still have another 100 of these, but will likely go thru those quickly.",1
I really liked the build quality but the very lackluster performance and minuscule battery life didn't make it a keeper for me.,2
